ticker,status,reason,name
AAPL,active,,
ABBV,active,,
ABT,active,,
ACN,active,,
ADBE,active,,
AMAT,active,,
AMD,active,,
AMGN,active,,
AMT,active,,
AMZN,active,,
AVGO,active,,
AXP,active,,
BA,active,,
BAC,active,,
BK,active,,
BKNG,active,,
BLK,active,,
BMY,active,,
BRK.B,active,,
C,active,,
CAT,active,,
CL,active,,
CMCSA,active,,
COF,active,,
COP,active,,
COST,active,,
CRM,active,,
CSCO,active,,
CVS,active,,
CVX,active,,
DE,active,,
DHR,active,,
DIS,active,,
DUK,active,,
EMR,active,,
FDX,active,,
GD,active,,
GE,active,,
GEV,active,,
GILD,active,,
GM,active,,
GOOG,active,,
GOOGL,active,,
GS,active,,
HD,active,,
HON,active,,
IBM,active,,
INTC,active,,
INTU,active,,
ISRG,active,,
JNJ,active,,
JPM,active,,
KO,active,,
LIN,active,,
LLY,active,,
LMT,active,,
LOW,active,,
LRCX,active,,
MA,active,,
MCD,active,,
MDLZ,active,,
MDT,active,,
META,active,,
MMM,active,,
MO,active,,
MRK,active,,
MS,active,,
MSFT,active,,
MU,active,,
NEE,active,,
NFLX,active,,
NKE,active,,
NOW,active,,
NVDA,active,,
ORCL,active,,
PEP,active,,
PFE,active,,
PG,active,,
PLTR,active,,
PM,active,,
QCOM,active,,
RTX,active,,
SBUX,active,,
SCHW,active,,
SO,active,,
SPG,active,,
T,active,,
TMO,active,,
TMUS,active,,
TSLA,active,,
TXN,active,,
UBER,active,,
UNH,active,,
UNP,active,,
UPS,active,,
USB,active,,
V,active,,
VZ,active,,
WFC,active,,
WMT,active,,
XOM,active,,
AIG,failure,Bailout/near-collapse 2008,AIG
FNMA,failure,Conservatorship 2008,Fannie Mae
CFC,failure,Acquired 2008,Countrywide Financial
BLIAQ,failure,Bankruptcy 2010,Blockbuster
BBBY,failure,Bankruptcy 2023,Bed Bath & Beyond
FRCB,failure,FDIC seizure 2023,First Republic Bank
HTZ,failure,"Bankruptcy 2020, relisted 2021",Hertz
